name,role,webpageurl,description,category,image
Professor C. Lee Giles,PI and Project Director,http://clgiles.ist.psu.edu/,"Lee Giles cocreated CiteSeer in 1997 with <a href=""http://research.google.com/pubs/author103.html"">Steve Lawrence</a> and <a href=""http://en.wikipedia.org/wiki/Kurt_Bollacker"">Kurt Bollacker</a> while they were at the NEC Research Institute (now NEC Labs) in Princeton, New Jersey, USA.  Now at the Pennsylvania State University, Dr. Giles continues the tradition of the CiteSeer project.",Core Team,ProfessorCLeeGiles.jpg
Dr. Jian Wu,Technical Leader,http://fanchyna.wix.com/jianwu,"Jian Wu is improving the CiteSeerx crawler and investigating our crawling policies and also maintains the CiteSeerx database, index and repository.",Core Team,DrJianWu.jpg
Dr. Cornelia Caragea,Assistant Professor at University of North Texas,http://www.cse.unt.edu/~ccaragea/,Dr. Caragea contributed on data cleaning and integrity. She also extracted keyphrases from scientific documents.,Core Team,DrCorneliaCaragea.jpg
Kunho Kim,Graduate student,https://www.linkedin.com/in/kunho-kim-211a69132/,Kunho Kim is responsible for the author disambiguation tasks and maintains the author search index.,Core Team,KunhoKim.jpg
Po-Yu Chuang,Graduate student,https://www.linkedin.com/in/po-yu-chuang-76963682/,Po-Yu Chuang manages the CiteSeerx index data over Apache Solr.,Core Team,PoYuChuang.jpg
Athar Sefid,Graduate student,https://www.linkedin.com/in/athar-sefid-0b512770/,Athar Sefid works with with Kunho Kim to maintain author disambiguation of CiteSeerX database.,Core Team,AtharSefid.jpg
Rabah Al-Zaidy,Graduate student,https://www.linkedin.com/in/rabah-al-zaidy-7b8826a7/,Rabah Al-Zaidy extracts trends and semantics from barcharts appearing in scientific documents.,Core Team,RabahAlZaidy.jpg
Professor Prasenjit Mitra,Former Co-director,http://www.personal.psu.edu/users/p/u/pum10/,Prasenjit Mitra guided the team which developed the table search feature for CiteSeerx and is a collaborator in the CiteSeerx project.,Noted Contributors,ProfessorPrasenjitMitra.jpg
Dr. Madian Khabsa,Researcher at Microsoft Inc.,http://www.personal.psu.edu/mxk479/,Madian contributes to the CiteSeerx architecture and indexing.,Noted Contributors,DrMadianKhabsa.jpg
Dr. Pradeep B. Teregowda,Advisory Software Engineer at IBM,http://dblp.uni-trier.de/pers/hd/t/Teregowda:Pradeep_B=,Pradeep guided many of the technical aspects of the CiteSeerx development process.,Noted Contributors,DrPradeepBTeregowda.jpg
Dr. Kyle Williams,Applied Scientist at Microsoft Inc.,http://www.personal.psu.edu/kiw5209,Kyle Williams was involved in the maintenance and development of CiteSeerx and manages the code repositories.,Noted Contributors,DrKyleWilliams.jpg
Eric Treece,Systems Administrator,,"Eric used to be the primary systems administrator for CiteSeerx's underlying hardware, network and operating system layers. He managed and maintain the CiteSeerx cloud infrastructure.",Noted Contributors,EricTreece.jpg
Douglas Jordan,Software Engineer at Microsoft,http://www.personal.psu.edu/dwj131/,Douglas Jordan used to be in charge of transferring CiteSeerx data.,Noted Contributors,DouglasJordan.jpg
Huaiyu (David) Yang,Undergraduate at Vanderbilt University,https://www.linkedin.com/in/huaiyu-david-yang-ba0b99105/,David worked with Jason Killian and co-developed the parallel extraction system for CiteSeerX.,Noted Contributors,HuaiyuDavidYang.jpg
Professor Jim Jansen,,http://faculty.ist.psu.edu/jjansen/,Jim investigates CiteSeerx useage.,Noted Contributors,ProfessorJimJansen.jpg
Dr. Susan Gauch,,http://csce.uark.edu/556.php,Dr. Susan Gauch is noted for her contribution on clustering CiteSeerx data.,Noted Contributors,DrSusanGauch.jpg
Jason Killian,Software Engineer at Palantir Technologies,https://www.linkedin.com/in/jasonkillian/,Jason Killian developed the parallel extraction framework for CiteSeerX.,Noted Contributors,JasonKillian.jpg
Dr. Puck Treeratpituk,,http://dblp.uni-trier.de/pers/hd/t/Treeratpituk:Pucktada,Puck led the author disambiguation project.,Noted Contributors,DrPuckTreeratpituk.jpg
Juan Pablo Fernández Ramírez,Software Engineer,,"Juan was responsible for the collections feature of MyCiteSeer and general CiteSeerx bug squashing. He participated in developing document conversion routines and contributed in part to the navigation menu design and page layout for CiteSeerx and MyCiteSeerx. He was responsible for OAI metadata interface, external links and legacy corrections.",Noted Contributors,JuanPabloFernndezRamrez.jpg
Dr. Shuyi Zheng,Crawl Consultant,http://dblp.uni-trier.de/pers/hd/z/Zheng:Shuyi,"Shuyi scoured the web for millions of new document files and is largely responsible for bringing the CiteSeerx collection up to date with the latest literature on the net. He has also lead efforts, for integrating table search with CiteSeerx.",Noted Contributors,DrShuyiZheng.jpg
Dr. Isaac G. Councill,"Consultant, Former Technical Director, Software/Deployment Architect, Principle Engineer",http://dblp.uni-trier.de/pers/hd/c/Councill:Isaac_G=,"Isaac led all technical aspects of the CiteSeerx development process, designed the system framework, and wrote most of the code. Isaac maintained the legacy CiteSeer system since it moved to Penn State in 2003 and incorporated many hard-won lessons from that endeavor into the new codebase.",Noted Contributors,DrIsaacGCouncill.jpg
Dr. Ying Liu,,,Ying Liu researched and developed the table search system that underlies the table search features of CiteSeerx.,Noted Contributors,DrYingLiu.jpg
Professor Min-Yen Kan,,http://www.comp.nus.edu.sg/~kanmy/,"Min-Yen Kan contributed the excellent conditional random field model that underlies the CiteSeerx citation parser, ParsCit, and collaborated with Isaac Councill to build the ParsCit application.",Noted Contributors,ProfessorMinYenKan.jpg
"""Bernie"" Nan Zang",Usability Engineer,,"Bernie was responsible for creating some of the interfaces you see in CiteSeerx, including the current UI.",Noted Contributors,BernieNanZang.jpg
Stephen Carman,Systems Engineer,,Stephen facilitated CiteSeerx data transfer and code improvement.,Noted Contributors,StephenCarman.jpg
Dr. Yang Song,Software Engineer,https://www.linkedin.com/in/sonyisme,Yang Song designed the prototype of MyCiteSeer.,Noted Contributors,DrYangSong.jpg
Dr. Steve Lawrence,,http://en.wikipedia.org/wiki/Steve_Lawrence_(computer_scientist),Steve was the creator of the original CiteSeer architecture and system.,Founders,DrSteveLawrence.jpg
Dr. Kurt Bollacker,,,Kurt was responsible for many innovative features in CiteSeer.,Founders,DrKurtBollacker.jpg
